"address","max_interval","avg_interval","std_interval"
"3P7FgyHWLULxDq2Ne138u4BNLUo5dgWvfX",0,0E-20,0
"18wXkCQxSPwhTKxHQTUda6a7vNXBZHn6RC",0,0E-20,0
"1Nm4xfwz9hdUqLqZSfQEhp9w1xWFUyvFeK",0,0E-20,0
"3Kr1V3NeupEeeQVZpDJeeEz8pnThKk14qZ",0,0E-20,0
"1N4xWeM35dZZgtKpQR7UgtMQAXZSCHBeh3",1175,587.5000000000000000,587.500000000000
"19A9BMtF7MNSbXEosEFk5X8KLbSMXBSEsF",4227,2113.5000000000000000,2113.500000000000
"3ESbQVt9D4ZmxXQ2jwgLpHfy6bQkZRG3yj",0,0E-20,0
"1EUPmLeyNnkYg2FPFhmAAKJxqSBVXNjBer",2039,1019.5000000000000000,1019.500000000000
"3CTyuzVLeHhzgPDDhH2Krcppj1UK9UdjnQ",0,0E-20,0
"1EDVUkjoxHQVrKyT34qTnvAfjeHid5Qy9h",0,0E-20,0
"3QLxmJ51M6nT5K1KCkuTVs8pLeMzyoS2DW",0,0E-20,0
"1DGP2qsVwYeKtefBA9BgfqtqhShNxwVnLx",0,0E-20,0
"147QygWfdVdom4oeDhkQWw1mWHUfShn39h",0,0E-20,0
"19tgb4TKxxUGRwe6aaJif51hpQuQVcLgFT",516,264.1538461538461538,122.783014456615
"3JwLHVNGepdQFjtL4vko7NVfVf7P7bn1kh",986,598.0000000000000000,327.978657842244
"1AcAxM63ietRSz4oi6kLrVwKgE4pxEbPMd",442,126.0597014925373134,102.202590818727
"1F4sHcF5nmPeJB6z7Jrpfiq16sp3ed6Kak",0,0E-20,0
"12bZNohAihhTtnq2FqfJ874YnYWUq1TANu",0,0E-20,0
"1beptcPfBvfh8YEpwFD3vRuScbd1bxBYW",4465,737.1250000000000000,1448.178117282194
"18sEqm4853B2CTsnq8wt9q4Ssjjqm87ftu",0,0E-20,0
"1AGFPJ3pFvdEThe62hpvmBTeZAnyaqxa76",0,0E-20,0
"18P8VuvGeXawhU3ddLK88g6tXzpTMrMP5D",0,0E-20,0
"18i7UmZ3nmzXhdqMXa4DPBVeVuLaCpzFi9",304,152.0000000000000000,152.000000000000
"19ppEpg61dW361xGqsn33cdMza7iAzSfje",0,0E-20,0
