"address","address_in_count","sum_granted","max_granted","min_granted","avg_granted","max_input_index","min_input_index","avg_input_index","max_output_index","min_output_index","avg_output_index"
"1F7zrBHkqW26sN9Am1s7rcp2wwuRrUb7Ea","2","1215866","612176","603690","607933.000000000000","138","0","69.0000000000000000","0","0","0.00000000000000000000"
"1F81tgeUrdFg4wpiQyrGE4FvaMa62nBef4","13","7671133","1501235","60000","590087.153846153846","683","17","160.7692307692307692","178","0","13.7692307692307692"
"1F8292qSqCSmbCAhu1Hx8CWk1qMpGPopUt","3","13999981","7412000","1787981","4666660.333333333333","175","137","161.0000000000000000","1","0","0.66666666666666666667"
"1F83G8o5BgLDheZCPxGuD3quZMM2hbRb6s","4","3641146","1160600","212846","910286.500000000000","7","0","3.5000000000000000","1","0","0.50000000000000000000"
"1F842A3JWRFT6ptHYbdGQEzrHbZA7C3FN2","7","82992","16380","546","11856.000000000000","0","0","0.00000000000000000000","2","0","1.2857142857142857"
"1F849gd9cSiZ6GUEAtPzHLqNfmaPiCxTMH","7","8805967","2480026","1022171","1257995.285714285714","90","39","70.7142857142857143","74","11","35.4285714285714286"
"1F84xubYDELhhNeNhaC1y3bMPDkWGFSTYD","3","12000000","5000000","3000000","4000000.000000000000","41","16","24.6666666666666667","1","0","0.33333333333333333333"
"1F85mErh73gtMQNM7PePdtHgeDwhtyHHJu","2","100027739","56704980","43322759","50013869.500000000000","95","89","92.0000000000000000","48","2","25.0000000000000000"
"1F86acDuzxtZDi1ZQLAk2VzSwvHfEy5hEB","3","1638","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","1","1.3333333333333333"
"1F873fZyMx5HTBUGifBTWQYK13oFkshLt1","1","65026","65026","65026","65026.000000000000","759","759","759.0000000000000000","1708","1708","1708.0000000000000000"
"1F87NbTcPFEFfDidLqLmohB9EnbQanfZgF","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","0","0","0.00000000000000000000"
"1F88xgAgZ3WRUtgS5jn7913NGPwzmpCN8K","1","33600","33600","33600","33600.000000000000","370","370","370.0000000000000000","1","1","1.00000000000000000000"
"1F895NtjL2kXPc66AwQt67Co3xk5kZ4Kfz","4","556647","152841","123493","139161.750000000000","17","13","14.7500000000000000","90","40","60.7500000000000000"
"1F89sHcsBiCgiMwdPRjbLNUgVMYaTJ83DS","1","1929232","1929232","1929232","1929232.000000000000","5","5","5.0000000000000000","0","0","0.00000000000000000000"
"1F8a8ZEpRscxXHtKjmKphmz9A7ik7tQMr7","9","125840000","22880000","4110000","13982222.222222222222","226","2","85.0000000000000000","14","1","5.8888888888888889"
"1F8aMRH4ZWDUAsfe7mAtY91HmY88NF6yU1","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F8aY9U6Djoj1fKFjTmVksPPYgFFvFftCF","1","995223","995223","995223","995223.000000000000","60","60","60.0000000000000000","1","1","1.00000000000000000000"
"1F8bFapYBb8mzdadpFZWqE8afEwMpbNmrq","4","9096808","3321000","1165808","2274202.000000000000","176","52","103.0000000000000000","30","0","7.7500000000000000"
"1F8BvkYw944FobQN6dtqH3UYekh7ahTCgG","1","11956774","11956774","11956774","11956774.000000000000","11","11","11.0000000000000000","0","0","0.00000000000000000000"
"1F8cHXVLUt7xy4eqhbBCvtD26F8BZgZHiy","1","180692","180692","180692","180692.000000000000","209","209","209.0000000000000000","936","936","936.0000000000000000"
"1F8cJFQkVibKy32z1TfJvX7mss19M6Bc6G","2","1337901","1000000","337901","668950.500000000000","24","10","17.0000000000000000","1","0","0.50000000000000000000"
"1F8CSUeKSAiBsfXhZCuP2KvZNAPqQe6tcs","7","3822","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","0","0.85714285714285714286"
"1F8CuaYri4Lj6tp21swm8cCJFFH7qqxBbm","1","38379706","38379706","38379706","38379706.000000000000","14","14","14.0000000000000000","20","20","20.0000000000000000"
"1F8CWHwVReMKhM64JxuiH9ncoTtM97E4SW","1","2022103","2022103","2022103","2022103.000000000000","119","119","119.0000000000000000","1","1","1.00000000000000000000"
"1F8e2sQdX8gvwTwA8fgynEizDAEgAvE1gS","2","14325000","7275000","7050000","7162500.000000000000","2","1","1.5000000000000000","1","0","0.50000000000000000000"
